Note author: ONLY [N]T has 1 allocs, it's okey, SEE performance recommendations in func's description or in utils/README.md

goos: darwin
goarch: arm64
pkg: github.com/lif0/pkg/utils/reflect
cpu: Apple M2
BenchmarkEstimatePayloadOf/[]uint64-8             	        450867214	         2.665 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint64-8            	        507623248	         2.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint64-8            	        30811233	         38.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint64-8           	        31251897	         38.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint64-8          	        64464573	         18.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint64-8         	        100000000	         10.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint64-8         	        29929758	         38.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint64-8        	        31152411	         38.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint64{nil}-8        	        485499412	         2.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint64{nil}-8       	        508437770	         2.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint64{nil}-8       	        373718990	         3.326 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint64{nil}-8      	        335075882	         3.538 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint64{nil}-8     	        53076111	         20.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint64{nil}-8    	        319622809	         3.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint64{nil}-8    	         4649042	         260.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint64{nil}-8   	        305739980	         3.557 ns/op	       0 B/op	       0 allocs/op
